Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Training Difficulty (1-10),temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years,temperament list,temperament_clean,affection_sociability,energy_activity,trainability,playfulness,protectiveness,independence,calm_stability,confidence_resilience,image_url
German Shepherd,Germany,Herding,Police dog fame,8,Large,Moderate,2.5,With Training,9,High,Moderate,6,"confident, courageous, intelligent, loyal, protective",Germany,DE,"Large, athletic working dog with erect ears, noble expression, and confident bearing. Known for high intelligence, loyalty, courage, and versatility in herding and working roles.",Herding,"Developed in 1899 by Captain Max von Stephanitz to create the ideal herding dog, standardized from local shepherd dogs. Intelligence and trainability led to worldwide use in police and military roles.","{'id': 'kc6oAx2b3X', 'url': 'https://cdn4.thedogapi.com/optimized/kc6oAx2b3X.jpg', 'width': 1136, 'height': 944}",23.0,41.0,32.0,56.0,66.0,61.0,9.0,13.0,11.0,"['confident', ' courageous', ' intelligent', ' loyal', ' protective']","confident, courageous, intelligent, loyal, protective",0,0,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/kc6oAx2b3X.jpg
German Shorthaired Pointer,Germany,Sporting,Versatile hunter,8,Large,Low,2.5,Yes,8,Moderate,Low,6,"friendly, intelligent, energetic, eager to please, athletic",Germany,DE,"A versatile, athletic, and noble all-purpose hunting dog with a distinctive short, dense liver and white coat, known for its intelligence, energy, and friendly disposition",Sporting,"Developed in 19th-century Germany by crossing Spanish Pointers, Bloodhound, and local German hunting dogs to create a versatile pointer-retriever capable of working on land and water. Recognized by AKC in 1930.","{'id': 'SJqBMg5Nm', 'url': 'https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg', 'width': 1395, 'height': 1230}",20.0,32.0,26.0,53.0,64.0,58.5,10.0,12.0,11.0,"['friendly', ' intelligent', ' energetic', ' eager to please', ' athletic']","friendly, intelligent, energetic, eager to please, athletic",1,1,1,0,0,0,0,0,https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg
German Wirehaired Pointer,Germany,Sporting,Weather resistant coat,7,Large,Moderate,2.5,Yes,8,Moderate,Low,7,"intelligent, energetic, loyal, affectionate, alert, eager to please",Germany,DE,"Medium to large versatile hunting dog with distinctive dense wiry double coat, bushy beard, and facial furnishings, known for endurance and weather resistance",Sporting,"Developed in late 19th-century Germany by crossing German Shorthaired Pointers, Foxhounds, Pudelpointers, and Wirehaired Pointing Griffons to create versatile, rugged, weather-resistant gundog capable of working on land and water","{'id': 'vkQ7J4dsDD', 'url': 'https://cdn4.thedogapi.com/optimized/vkQ7J4dsDD.jpg', 'width': 1104, 'height': 960}",23.0,32.0,27.5,56.0,66.0,61.0,12.0,16.0,14.0,"['intelligent', ' energetic', ' loyal', ' affectionate', ' alert', ' eager to please']","intelligent, energetic, loyal, affectionate, alert, eager to please",1,1,1,0,1,0,0,0,https://cdn4.thedogapi.com/optimized/vkQ7J4dsDD.jpg
Giant Schnauzer,Germany,Working,Beard and eyebrows,7,Large,High,2.0,With Training,8,Low,Moderate,8,"loyal, intelligent, alert, energetic, courageous, confident",Germany,DE,"Large, powerful, and robust working dog with a dense wiry, weather-resistant coat, distinctive beard and eyebrows, and commanding, imposing presence. Originally bred for driving cattle and guarding in Germany.",Working,"Developed in Bavaria and Württemberg, Germany as a larger version of the Standard Schnauzer by crossing with larger breeds like the Great Dane. Originally used for driving cattle to market, guarding property, breweries and farms, and later as police and military working dogs.","{'id': 'Ygv4UKHpCW', 'url': 'https://cdn4.thedogapi.com/optimized/Ygv4UKHpCW.jpg', 'width': 1136, 'height': 928}",25.0,39.0,32.0,60.0,70.0,65.0,12.0,15.0,13.5,"['loyal', ' intelligent', ' alert', ' energetic', ' courageous', ' confident']","loyal, intelligent, alert, energetic, courageous, confident",0,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/Ygv4UKHpCW.jpg
Golden Retriever,Scotland,Sporting,Golden coat,10,Large,High,2.0,Yes,8,High,Moderate,4,"friendly, intelligent, devoted, confident, loyal, eager to please",Scotland,GB,"Large, athletic sporting dog with a dense, lustrous, flowing golden coat and friendly disposition, known for their versatility as family companions and working dogs",Sporting,"Developed in the Scottish Highlands during the mid-to-late 19th century by Dudley Marjoribanks (Lord Tweedmouth), who crossed a yellow retriever with the now-extinct Tweed Water Spaniel, with later additions of Irish Setter and Bloodhound for hunting and retrieving in rugged terrain and cold water","{'id': 'X9w40D9ojT', 'url': 'https://cdn4.thedogapi.com/optimized/X9w40D9ojT.jpg', 'width': 1168, 'height': 912}",25.0,34.0,29.5,55.0,61.0,58.0,10.0,12.0,11.0,"['friendly', ' intelligent', ' devoted', ' confident', ' loyal', ' eager to please']","friendly, intelligent, devoted, confident, loyal, eager to please",1,0,1,0,0,0,0,1,https://cdn4.thedogapi.com/optimized/X9w40D9ojT.jpg
Gordon Setter,Scotland,Sporting,Black and tan coat,8,Large,High,2.0,Yes,7,Moderate,Moderate,6,"confident, loyal, affectionate, intelligent, eager to please, alert",Scotland,GB,"Large, athletic bird dog with distinctive glistening black-and-tan coat. Built sturdily for work in rugged terrain, it is the heaviest and most substantial of the setter breeds, known for endurance and loyalty with an alert expression.",Sporting,Developed in Scotland by Alexander the fourth Duke of Gordon in the late 18th and early 19th centuries from black and tan setters. Established as a durable one-man bird dog capable of working long days in rugged Scottish Highland terrain.,"{'id': 'GFuEqzH0Fq', 'url': 'https://cdn4.thedogapi.com/optimized/GFuEqzH0Fq.jpg', 'width': 1152, 'height': 928}",20.0,36.0,28.0,58.0,69.0,63.5,12.0,13.0,12.5,"['confident', ' loyal', ' affectionate', ' intelligent', ' eager to please', ' alert']","confident, loyal, affectionate, intelligent, eager to please, alert",1,0,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/GFuEqzH0Fq.jpg
Great Dane,Germany,Working,Giant size,8,Giant,Low,2.0,Yes,6,Moderate,High,6,"friendly, gentle, confident, loyal, affectionate",Germany,DE,"Giant, regal breed known as the 'Apollo of Dogs' with a powerful, well-muscled body, sleek coat, and dignified presence combined with noble bearing despite imposing size",Working,"Originally bred by German nobility from Mastiff-type dogs to hunt wild boar and deer, later refined as estate guardians and companions. Declared national dog of Germany in 1876 and standardized as 'Deutsche Dogge'","{'id': 'MmjpsRG5IG', 'url': 'https://cdn4.thedogapi.com/optimized/MmjpsRG5IG.jpg', 'width': 1040, 'height': 1024}",50.0,79.0,64.5,71.0,81.0,76.0,7.0,10.0,8.5,"['friendly', ' gentle', ' confident', ' loyal', ' affectionate']","friendly, gentle, confident, loyal, affectionate",1,0,0,0,0,0,1,1,https://cdn4.thedogapi.com/optimized/MmjpsRG5IG.jpg
Greater Swiss Mountain Dog,Switzerland,Working,Tri-colored markings,8,Large,Low,2.0,Yes,7,Moderate,Moderate,7,"gentle, loyal, confident, alert, friendly",Switzerland,CH,"Large, powerful, and striking tricolor working dog with distinctive tri-colored coat and gentle, dependable temperament. Known for strength and robust build as a draft dog.",Working,"One of Switzerland's oldest breeds, likely descended from Roman Mastiffs, used as an all-purpose draft, herding, and farm guardian dog in the Swiss Alps. Nearly extinct until rediscovered and revived in early 1900s by Dr. Albert Heim.","{'id': 'DvUSQI2TdY', 'url': 'https://cdn4.thedogapi.com/optimized/DvUSQI2TdY.jpg', 'width': 1216, 'height': 880}",39.0,64.0,51.5,60.0,72.0,66.0,8.0,11.0,9.5,"['gentle', ' loyal', ' confident', ' alert', ' friendly']","gentle, loyal, confident, alert, friendly",1,0,0,0,1,0,1,1,https://cdn4.thedogapi.com/optimized/DvUSQI2TdY.jpg
Greyhound,Egypt,Hound,Fastest dog breed,7,Large,Low,2.0,Yes,7,Low,Low,6,"gentle, calm, intelligent, affectionate, independent",Ancient Egypt/Middle East,GB,"An ancient sighthound with tall, lean, elegant build designed for exceptional speed. Known for their gentle temperament and often described as a '45-mph couch potato', combining incredible athleticism with calm, affectionate nature.",Hound,"Ancient sighthound breed dating back thousands of years, depicted in Egyptian, Greek, and Roman art. The modern Greyhound was standardized in Great Britain for coursing game and later racing. Famed as the fastest dog breed.","{'id': 'fVVxWR2qse', 'url': 'https://cdn4.thedogapi.com/optimized/fVVxWR2qse.jpg', 'width': 1200, 'height': 896}",27.0,32.0,29.5,68.0,76.0,72.0,10.0,13.0,11.5,"['gentle', ' calm', ' intelligent', ' affectionate', ' independent']","gentle, calm, intelligent, affectionate, independent",1,0,1,0,0,1,1,0,https://cdn4.thedogapi.com/optimized/fVVxWR2qse.jpg
Harrier,England,Hound,Pack hunting ability,8,Medium,Low,2.0,Yes,6,Moderate,Low,6,"friendly, outgoing, energetic, intelligent, gentle",England,GB,"Medium-sized athletic scent hound bred for pack hunting hare, resembling a smaller English Foxhound with sturdy build, short dense coat, and excellent stamina",Hound,"Developed in medieval England for hare hunting in packs, documented since at least the 13th century. Likely descended from English Foxhound, Talbot Hounds, and other French hounds","{'id': 'B1IcfgqE7', 'url': 'https://cdn2.thedogapi.com/images/B1IcfgqE7_1280.jpg', 'width': 1920, 'height': 1080}",20.0,27.0,23.5,48.0,53.0,50.5,12.0,15.0,13.5,"['friendly', ' outgoing', ' energetic', ' intelligent', ' gentle']","friendly, outgoing, energetic, intelligent, gentle",1,1,1,0,0,0,1,0,https://cdn2.thedogapi.com/images/B1IcfgqE7_1280.jpg
Havanese,Cuba,Toy,Silky coat,9,Small,High,1.5,Yes,8,Low,Low,5,"outgoing, intelligent, friendly, playful, affectionate, adaptable",Cuba,CU,"Small, sturdy companion dog with long, silky double coat and cheerful temperament. Cuba's national dog, known for its intelligent disposition and making an ideal city companion.",Toy,"Developed from Bichon-type ancestors brought by Spanish settlers, became companions to Cuban aristocracy. Nearly extinct after Cuban Revolution but preserved by Cuban families who fled to the United States.","{'id': '8bzLyVs2dA', 'url': 'https://cdn4.thedogapi.com/optimized/8bzLyVs2dA.jpg', 'width': 1088, 'height': 976}",3.0,6.0,4.5,22.0,29.0,25.5,,,,"['outgoing', ' intelligent', ' friendly', ' playful', ' affectionate', ' adaptable']","outgoing, intelligent, friendly, playful, affectionate, adaptable",1,0,1,1,0,0,1,0,https://cdn4.thedogapi.com/optimized/8bzLyVs2dA.jpg
Ibizan Hound,Spain,Hound,Large ears,7,Medium,Low,2.0,Yes,7,Low,Low,7,"independent, intelligent, athletic, gentle, alert, playful","Balearic Islands, Spain",ES,"Elegant sighthound with distinctive large erect ears, lean athletic build, and deer-like grace. Known for remarkable jumping ability and bred for hunting rabbit by sight, this ancient breed comes in both smooth and wire-coated varieties.",Hound,Ancient breed whose origins trace back to Phoenician traders who brought Egyptian hunting dogs to the Balearic Islands around the 8th century BC. Developed in isolation on Ibiza and neighboring islands for hunting rabbits on rocky terrain.,"{'id': 'ViHkh0d7Ov', 'url': 'https://cdn4.thedogapi.com/optimized/ViHkh0d7Ov.jpg', 'width': 1088, 'height': 976}",20.0,29.0,24.5,57.0,70.0,63.5,11.0,14.0,12.5,"['independent', ' intelligent', ' athletic', ' gentle', ' alert', ' playful']","independent, intelligent, athletic, gentle, alert, playful",0,1,1,1,1,1,1,0,https://cdn4.thedogapi.com/optimized/ViHkh0d7Ov.jpg
Icelandic Sheepdog,Iceland,Herding,Spitz-type tail,8,Medium,Moderate,2.0,Yes,7,Moderate,Low,6,"friendly, alert, energetic, intelligent, playful, confident, hardy",Iceland,IS,"Medium-sized spitz-type herding dog with thick weatherproof double coat, prick ears, and curved bushy tail, known for its cheerful and inquisitive nature",Herding,"Iceland's only native dog breed, brought by Viking settlers around 874-930 AD and bred in isolation for centuries. Essential for herding sheep and livestock in harsh Icelandic conditions","{'id': 'fjKm1CMZDK', 'url': 'https://cdn4.thedogapi.com/optimized/fjKm1CMZDK.jpg', 'width': 1024, 'height': 1024}",11.0,16.0,13.5,42.0,51.0,46.5,12.0,14.0,13.0,"['friendly', ' alert', ' energetic', ' intelligent', ' playful', ' confident', ' hardy']","friendly, alert, energetic, intelligent, playful, confident, hardy",1,1,1,1,1,0,0,1,https://cdn4.thedogapi.com/optimized/fjKm1CMZDK.jpg
Irish Red and White Setter,Ireland,Sporting,Red and white coat,8,Large,High,2.5,Yes,7,Moderate,Moderate,6,"friendly, energetic, intelligent, courageous, devoted, gentle, eager to please",Ireland,IE,"Medium to large athletic gundog with distinctive red and white coat pattern and aristocratic appearance. This versatile sporting breed combines a powerful, athletic build with a kind expression and was bred specifically for pointing and retrieving game birds.",Sporting,"One of Ireland's oldest gundogs with history dating back to the 17th century, predating the Irish Setter. Bred as versatile gundogs for finding and retrieving gamebirds. Nearly extinct by the 1920s but revived through dedicated breeding programs by enthusiasts in the 20th century.","{'id': 'dU7w5jnMC1', 'url': 'https://cdn4.thedogapi.com/optimized/dU7w5jnMC1.jpg', 'width': 1216, 'height': 880}",20.0,32.0,26.0,57.0,66.0,61.5,11.0,15.0,13.0,"['friendly', ' energetic', ' intelligent', ' courageous', ' devoted', ' gentle', ' eager to please']","friendly, energetic, intelligent, courageous, devoted, gentle, eager to please",1,1,1,0,1,0,1,0,https://cdn4.thedogapi.com/optimized/dU7w5jnMC1.jpg
Irish Setter,Ireland,Sporting,Rich red coat,8,Large,High,2.5,Yes,7,High,Moderate,6,"friendly, outgoing, energetic, intelligent, playful, affectionate",Ireland,IE,"Elegant, athletic gundog known for its stunning mahogany or rich chestnut red flowing coat and high-energy, friendly temperament",Sporting,"Developed in 18th-century Ireland as a versatile gundog for setting and retrieving game birds by crossing Irish Water Spaniel, English Setter, and Pointer. The breed's striking mahogany color became a hallmark in the 19th century, distinguishing it from earlier red-and-white setters","{'id': 'wWecmugBdH', 'url': 'https://cdn4.thedogapi.com/optimized/wWecmugBdH.jpg', 'width': 1200, 'height': 896}",24.0,34.0,29.0,61.0,74.0,67.5,12.0,15.0,13.5,"['friendly', ' outgoing', ' energetic', ' intelligent', ' playful', ' affectionate']","friendly, outgoing, energetic, intelligent, playful, affectionate",1,1,1,1,0,0,0,0,https://cdn4.thedogapi.com/optimized/wWecmugBdH.jpg
Irish Terrier,Ireland,Terrier,Fiery red coat,7,Medium,Moderate,1.5,Yes,7,Low,Low,7,"courageous, loyal, intelligent, energetic, spirited",Ireland,IE,"Medium-sized terrier with a distinctive wiry, fiery red coat and bold, spirited temperament. Known for its courage and loyalty, it is one of the oldest terrier breeds.",Terrier,"One of the oldest terrier breeds, developed in County Cork, Ireland as all-purpose farm dogs for hunting vermin and guarding homes. Their courage was proven in World War I where they served as messenger dogs and sentinels.","{'id': 'By-hGecVX', 'url': 'https://cdn2.thedogapi.com/images/By-hGecVX_1280.jpg', 'width': 800, 'height': 626}",11.0,13.0,12.0,43.0,48.0,45.5,,,,"['courageous', ' loyal', ' intelligent', ' energetic', ' spirited']","courageous, loyal, intelligent, energetic, spirited",0,1,1,0,1,0,0,0,https://cdn2.thedogapi.com/images/By-hGecVX_1280.jpg
Irish Water Spaniel,Ireland,Sporting,Curly coat,8,Large,High,2.0,Yes,7,Low,Low,6,"intelligent, playful, alert, courageous, eager to please",Ireland,IE,"The tallest of all spaniels, this large, versatile sporting dog is distinguished by its crisp, curly purplish-brown waterproof coat, distinctive smooth tapered 'rat tail', and characteristic topknot. Bred for retrieving waterfowl from cold Irish waters, combining intelligence with a playful, alert nature.",Sporting,"Ancient Irish breed with modern development in the 1830s primarily by Justin McCarthy. Bred for retrieving waterfowl from cold Irish waters, mentioned in Irish literature as early as 1600s and recognized by AKC in 1884","{'id': 'RzLkPO1XKH', 'url': 'https://cdn4.thedogapi.com/optimized/RzLkPO1XKH.jpg', 'width': 1264, 'height': 848}",20.0,31.0,25.5,53.0,61.0,57.0,12.0,14.0,13.0,"['intelligent', ' playful', ' alert', ' courageous', ' eager to please']","intelligent, playful, alert, courageous, eager to please",0,0,1,1,1,0,0,0,https://cdn4.thedogapi.com/optimized/RzLkPO1XKH.jpg
Irish Wolfhound,Ireland,Hound,Tallest dog breed,7,Giant,Moderate,2.0,Yes,6,Moderate,High,6,"gentle, calm, dignified, courageous, loyal",Ireland,IE,"A giant-sized sighthound of imposing appearance and dignified nature, the Irish Wolfhound is the tallest of all dog breeds. Known for its wiry, rough coat and gentle giant temperament, this ancient breed combines courage with a calm, dignified demeanor.",Hound,Ancient breed from Ireland originally used in war and for hunting wolves and Irish elk. Nearly extinct by the 1860s but revived by Captain George Augustus Graham who standardized the breed.,"{'id': 's2EMPFktdk', 'url': 'https://cdn4.thedogapi.com/optimized/s2EMPFktdk.jpg', 'width': 1152, 'height': 912}",52.0,82.0,67.0,76.0,89.0,82.5,6.0,8.0,7.0,"['gentle', ' calm', ' dignified', ' courageous', ' loyal']","gentle, calm, dignified, courageous, loyal",0,0,0,0,1,0,1,1,https://cdn4.thedogapi.com/optimized/s2EMPFktdk.jpg
Italian Greyhound,Italy,Toy,Miniature sight hound,7,Small,Low,1.5,No,7,Low,Moderate,7,"affectionate, gentle, playful, alert, intelligent",Italy,IT,"Elegant small sighthound with slender, delicate build and graceful movement, combining the look of a large hound with the size of a lap dog and fine, smooth coat",Toy,"Ancient breed with origins tracing back over 2,000 years to the Mediterranean basin, favored by nobility in ancient Greece, Rome, and Italian Renaissance, AKC recognized since 1886","{'id': 'dn8F4NPRdX', 'url': 'https://cdn4.thedogapi.com/optimized/dn8F4NPRdX.jpg', 'width': 896, 'height': 1184}",3.0,6.5,4.75,33.0,38.0,35.5,,,,"['affectionate', ' gentle', ' playful', ' alert', ' intelligent']","affectionate, gentle, playful, alert, intelligent",1,0,1,1,1,0,1,0,https://cdn4.thedogapi.com/optimized/dn8F4NPRdX.jpg
Japanese Chin,Japan,Toy,Eastern expression,7,Small,Moderate,1.0,Yes,7,Moderate,Low,6,"alert, intelligent, affectionate, independent, playful, calm",China/Japan,JP,"Small, elegant toy breed with distinctive flat face, large wide-set eyes, and luxurious silky coat. Known for their aristocratic bearing and unique cat-like demeanor, often cleaning their faces and perching in high places.",Toy,"Ancient breed believed to have originated in the Chinese imperial court, then refined in Japan by nobility as cherished lap dogs and companions. Often given as gifts to diplomats and royalty, including to Commodore Matthew Perry who brought them to the West in 1853.","{'id': '1TlHrdv5SQ', 'url': 'https://cdn4.thedogapi.com/optimized/1TlHrdv5SQ.jpg', 'width': 1024, 'height': 1040}",1.8,5.0,3.4,20.0,28.0,24.0,10.0,12.0,11.0,"['alert', ' intelligent', ' affectionate', ' independent', ' playful', ' calm']","alert, intelligent, affectionate, independent, playful, calm",1,0,1,1,1,1,1,0,https://cdn4.thedogapi.com/optimized/1TlHrdv5SQ.jpg
Japanese Spitz,Japan,Non-Sporting,Snow-white coat,8,Small,High,1.5,Yes,8,High,Low,6,"intelligent, playful, alert, loyal, affectionate, friendly",Japan,JP,"Small to medium-sized spitz-type dog with profuse, pure-white double coat, fox-like face with pointed muzzle, and plumed tail carried over its back. This lively companion dog has an alert, friendly disposition.",Non-Sporting,"Developed in Japan in the 1920s-1930s from various spitz breeds including large white German Spitz dogs brought to Japan around 1920. The breed was developed through selective breeding for friendly temperament and white coat, first exhibited in Tokyo in 1921. After World War II, the breed standard was unified by the Japan Kennel Club.","{'id': 'a9bVhDxsQC', 'url': 'https://cdn4.thedogapi.com/optimized/a9bVhDxsQC.jpg', 'width': 1264, 'height': 848}",4.5,11.0,7.75,30.0,39.0,34.5,12.0,16.0,14.0,"['intelligent', ' playful', ' alert', ' loyal', ' affectionate', ' friendly']","intelligent, playful, alert, loyal, affectionate, friendly",1,0,1,1,1,0,0,0,https://cdn4.thedogapi.com/optimized/a9bVhDxsQC.jpg
Keeshond,Netherlands,Non-Sporting,Spectacles marking,8,Medium,High,1.5,Yes,8,High,Low,6,"friendly, intelligent, outgoing, alert, eager to please",Netherlands,NL,"Medium-sized compact spitz with plush silver-gray double coat, fox-like face, distinctive spectacles markings around the eyes, and plumed tail curled over back",Non-Sporting,"Ancient Dutch breed known as the Dutch Barge Dog, popular companion and watchdog on barges and riverboats along the Rhine River. Became symbol of Dutch Patriots Party in 18th century, nearly extinct after WWII but restored from dogs exported to England and America","{'id': 'ZpfPWRzZjj', 'url': 'https://cdn4.thedogapi.com/optimized/ZpfPWRzZjj.jpg', 'width': 1072, 'height': 992}",16.0,20.0,18.0,41.0,48.0,44.5,12.0,15.0,13.5,"['friendly', ' intelligent', ' outgoing', ' alert', ' eager to please']","friendly, intelligent, outgoing, alert, eager to please",1,0,1,0,1,0,0,0,https://cdn4.thedogapi.com/optimized/ZpfPWRzZjj.jpg
Kerry Blue Terrier,Ireland,Terrier,Blue coat,7,Medium,High,1.5,Yes,7,Low,Low,7,"alert, intelligent, loyal, playful, energetic, courageous",Ireland,IE,"Medium-sized, muscular Irish terrier with distinctive soft, wavy blue-gray coat and bearded face, known for its spirited, intelligent personality",Terrier,"Originating in County Kerry, Ireland, developed as a versatile all-purpose farm dog for herding cattle, hunting vermin and small game, and guarding. Became a symbol of Irish patriotism with breed records dating to the 19th century; recognized by the AKC in 1922.","{'id': 'raFDcesotq', 'url': 'https://cdn4.thedogapi.com/optimized/raFDcesotq.jpg', 'width': 1040, 'height': 1024}",14.0,18.0,16.0,44.0,50.0,47.0,12.0,15.0,13.5,"['alert', ' intelligent', ' loyal', ' playful', ' energetic', ' courageous']","alert, intelligent, loyal, playful, energetic, courageous",0,1,1,1,1,0,0,0,https://cdn4.thedogapi.com/optimized/raFDcesotq.jpg
Komondor,Hungary,Working,Corded coat,6,Large,Very High,2.0,With Training,6,Low,Low,8,"loyal, protective, independent, courageous, calm",Hungary,HU,"Large, muscular Hungarian livestock guardian dog with distinctive heavy coat of white cords resembling a mop. Built for endurance and protection, this imposing breed possesses a dignified, courageous demeanor.",Working,Ancient breed descended from Tibetan dogs brought to Hungary by nomadic Magyar tribes over a thousand years ago around 1000 AD. Developed to be formidable independent livestock guardian protecting sheep and cattle from wolves bears and harsh weather.,"{'id': 'vutXumi0ih', 'url': 'https://cdn4.thedogapi.com/optimized/vutXumi0ih.jpg', 'width': 1008, 'height': 1056}",36.0,59.0,47.5,65.0,80.0,72.5,10.0,12.0,11.0,"['loyal', ' protective', ' independent', ' courageous', ' calm']","loyal, protective, independent, courageous, calm",0,0,0,0,1,1,1,0,https://cdn4.thedogapi.com/optimized/vutXumi0ih.jpg
Kuvasz,Hungary,Working,White guardian,6,Large,Moderate,2.0,With Training,7,Moderate,Moderate,8,"loyal, protective, independent, courageous, intelligent, calm",Hungary,HU,"Large, powerful white Hungarian livestock guardian dog with a dense double coat, noble bearing, and fiercely loyal, protective nature",Working,"Ancient Hungarian breed descended from large molosser-type dogs from Tibet. Historically served as royal guard dogs for Magyar kings and fierce livestock guardians, prized for their loyalty and courage in protecting flocks and estates from predators and thieves","{'id': 'TpZNIKNjnH', 'url': 'https://cdn4.thedogapi.com/optimized/TpZNIKNjnH.jpg', 'width': 1216, 'height': 880}",32.0,52.0,42.0,66.0,76.0,71.0,10.0,12.0,11.0,"['loyal', ' protective', ' independent', ' courageous', ' intelligent', ' calm']","loyal, protective, independent, courageous, intelligent, calm",0,0,1,0,1,1,1,0,https://cdn4.thedogapi.com/optimized/TpZNIKNjnH.jpg
Labrador Retriever,Canada,Sporting,Water-resistant coat,10,Large,Moderate,2.0,Yes,8,High,Moderate,4,"friendly, outgoing, energetic, intelligent, gentle, eager to please","Newfoundland, Canada",CA,"Medium to large, strong athletic retriever with short dense coat and friendly outgoing temperament. Consistently one of the most popular breeds worldwide.",Sporting,Originated from St. John's Water Dogs used by fishermen in Newfoundland for retrieving nets and escaped fish. Further developed and standardized in England during the 1800s by English nobles for waterfowl retrieving,"{'id': 'BE5AcsNMdm', 'url': 'https://cdn4.thedogapi.com/optimized/BE5AcsNMdm.jpg', 'width': 1280, 'height': 832}",25.0,36.0,30.5,55.0,62.0,58.5,10.0,12.0,11.0,"['friendly', ' outgoing', ' energetic', ' intelligent', ' gentle', ' eager to please']","friendly, outgoing, energetic, intelligent, gentle, eager to please",1,1,1,0,0,0,1,0,https://cdn4.thedogapi.com/optimized/BE5AcsNMdm.jpg
Lakeland Terrier,England,Terrier,Square build,7,Small,Moderate,1.5,Yes,7,Low,Low,7,"confident, alert, courageous, intelligent, friendly, energetic","Lake District, England",GB,"A small, sturdy terrier from the Lake District of England with a dense, weather-resistant wiry coat and lively expression. Known for its confident 'big dog' demeanor in a compact body and bold, courageous temperament.",Terrier,Developed in the rugged Lake District by farmers to hunt foxes that preyed on lambs and sheep. Ancestry includes the old English Black and Tan Terrier and Bedlington Terrier. Recognized by The Kennel Club in 1921 and AKC in 1934.,"{'id': 'gZtRaSgnya', 'url': 'https://cdn4.thedogapi.com/optimized/gZtRaSgnya.jpg', 'width': 1120, 'height': 944}",6.0,8.0,7.0,33.0,38.0,35.5,12.0,15.0,13.5,"['confident', ' alert', ' courageous', ' intelligent', ' friendly', ' energetic']","confident, alert, courageous, intelligent, friendly, energetic",1,1,1,0,1,0,0,1,https://cdn4.thedogapi.com/optimized/gZtRaSgnya.jpg
Leonberger,Germany,Working,Lion-like mane,8,Giant,High,2.0,Yes,7,High,High,8,"gentle, calm, loyal, friendly, intelligent, confident","Leonberg, Germany",DE,"Giant, majestic working dog with a lion-like appearance, thick water-resistant double coat, and gentle, balanced temperament. This powerful yet serene breed combines an imposing presence with a calm, patient demeanor.",Working,"Developed in the 1840s by Heinrich Essig in Leonberg, Germany, crossing Newfoundlands, Saint Bernards, and Pyrenean Mountain Dogs to create a 'lion-like' dog resembling the lion on the town crest. Became popular companion for European royalty","{'id': 'EtmEHVP7o1', 'url': 'https://cdn4.thedogapi.com/optimized/EtmEHVP7o1.jpg', 'width': 1200, 'height': 896}",41.0,77.0,59.0,65.0,80.0,72.5,7.0,9.0,8.0,"['gentle', ' calm', ' loyal', ' friendly', ' intelligent', ' confident']","gentle, calm, loyal, friendly, intelligent, confident",1,0,1,0,0,0,1,1,https://cdn4.thedogapi.com/optimized/EtmEHVP7o1.jpg
Lhasa Apso,Tibet,Non-Sporting,Floor-length coat,6,Small,Very High,1.0,No,7,Low,Low,8,"confident, independent, alert, loyal, smart, protective",Tibet,CN,"Small, hardy, and sturdy ancient Tibetan breed known for its floor-length coat of hair that parts down the back and alert, confident expression, originally bred as palace and monastery sentinel",Non-Sporting,"Ancient breed developed in Tibetan monasteries and palaces over a thousand years ago as indoor sentinel dogs, alerting monks to intruders. Highly prized and rarely left the country until brought to England in 1920s","{'id': 'SJp7Qe5EX', 'url': 'https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg', 'width': 680, 'height': 444}",5.0,8.2,6.6,23.0,28.0,25.5,12.0,15.0,13.5,"['confident', ' independent', ' alert', ' loyal', ' smart', ' protective']","confident, independent, alert, loyal, smart, protective",0,0,1,0,1,1,0,1,https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg
