name,species_id,temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years
Kurdish Mastiff,2,"protective, loyal, independent, courageous, alert, confident",Kurdistan region,IQ,"Large, powerful, and ancient landrace livestock guardian dog originating from the Kurdistan region, known for its protective instincts, independent nature, and robust build. Also known as the Pshdar Dog, this breed was developed for strength, courage, and resilience in harsh mountainous conditions.",Working,"An ancient landrace breed developed over centuries by Kurdish shepherds in the mountainous Kurdistan region primarily to protect livestock from large predators like wolves and bears. Valued for strength, courage, and resilience in harsh conditions, but not recognized by major kennel clubs.","{'id': 'culJYfFK6h', 'url': 'https://cdn4.thedogapi.com/optimized/culJYfFK6h.jpg', 'width': 1104, 'height': 960}",40.0,82.0,61.0,66.0,84.0,75.0,10.0,13.0,11.5
Kuvasz,2,"loyal, protective, independent, courageous, intelligent, calm",Hungary,HU,"Large, powerful white Hungarian livestock guardian dog with a dense double coat, noble bearing, and fiercely loyal, protective nature",Working,"Ancient Hungarian breed descended from large molosser-type dogs from Tibet. Historically served as royal guard dogs for Magyar kings and fierce livestock guardians, prized for their loyalty and courage in protecting flocks and estates from predators and thieves","{'id': 'TpZNIKNjnH', 'url': 'https://cdn4.thedogapi.com/optimized/TpZNIKNjnH.jpg', 'width': 1216, 'height': 880}",32.0,52.0,42.0,66.0,76.0,71.0,10.0,12.0,11.0
Labradoodle,2,"friendly, intelligent, energetic, gentle, outgoing, affectionate",Australia,AU,"Energetic medium-to-large crossbreed between Labrador Retriever and Poodle with curly or wavy coat, originally developed as a hypoallergenic companion and guide dog. Size and coat type can vary significantly based on generation and Poodle parent size.",Mixed,First intentionally developed in Australia in the late 1980s by Wally Conron for the Royal Guide Dog Association of Australia. Created by crossing Labrador Retrievers with Poodles to produce a hypoallergenic guide dog combining the low-shedding coat of the Poodle with the temperament and trainability of the Labrador Retriever. Not recognized by major kennel clubs.,"{'id': 'u61mBoaFOV', 'url': 'https://cdn4.thedogapi.com/optimized/u61mBoaFOV.jpg', 'width': 1264, 'height': 848}",20.0,29.0,24.5,53.0,61.0,57.0,12.0,14.0,13.0
Labrador Retriever,2,"friendly, outgoing, energetic, intelligent, gentle, eager to please","Newfoundland, Canada",CA,"Medium to large, strong athletic retriever with short dense coat and friendly outgoing temperament. Consistently one of the most popular breeds worldwide.",Sporting,Originated from St. John's Water Dogs used by fishermen in Newfoundland for retrieving nets and escaped fish. Further developed and standardized in England during the 1800s by English nobles for waterfowl retrieving,"{'id': 'BE5AcsNMdm', 'url': 'https://cdn4.thedogapi.com/optimized/BE5AcsNMdm.jpg', 'width': 1280, 'height': 832}",25.0,36.0,30.5,55.0,62.0,58.5,10.0,12.0,11.0
Labraheeler,2,"intelligent, energetic, loyal, alert, friendly, work-focused","United States, Australia",US,"Medium to large athletic crossbreed combining the loyal, hard-working nature of the Australian Cattle Dog with the friendly, outgoing temperament of the Labrador Retriever. This intelligent and energetic mixed breed features a short double coat and strong work ethic.",Mixed,"Modern designer crossbreed developed in recent decades, primarily in North America and Australia. Created to combine the intelligence, work ethic, and sturdiness of the Australian Cattle Dog with the friendly and trainable nature of the Labrador Retriever.","{'id': 'aJg1PeG9Q6', 'url': 'https://cdn4.thedogapi.com/optimized/aJg1PeG9Q6.jpg', 'width': 1408, 'height': 768}",16.0,36.0,26.0,43.0,62.0,52.5,12.0,15.0,13.5
Labsky,2,"friendly, energetic, intelligent, loyal, outgoing, playful",United States,US,"Medium to large energetic crossbreed combining Labrador Retriever and Siberian Husky traits, known for its athletic build, striking appearance, and friendly yet independent nature. Physical appearance and temperament can vary significantly between individuals.",Mixed,"Modern designer crossbreed developed by combining Labrador Retriever and Siberian Husky, aiming to blend the friendly, trainable nature of the Labrador with the striking looks, athleticism and stamina of the Husky. Not recognized by major kennel clubs.","{'id': 'fXffqHAEg0', 'url': 'https://cdn4.thedogapi.com/optimized/fXffqHAEg0.jpg', 'width': 1408, 'height': 768}",16.0,36.0,26.0,51.0,64.0,57.5,10.0,14.0,12.0
Lacy Dog,2,"energetic, intelligent, work-focused, devoted, loyal, alert","Texas Hill Country, United States",US,"Medium-sized athletic working dog developed in the American Southwest for herding and hunting with a short, sleek coat and intense drive. Known for its high energy and strong work focus, this breed can be blue, red, or tricolor.",Herding,"Developed by the Lacy family in Burnet County, Texas, in the mid-1800s as an all-purpose working dog for herding, trailing, and hunting, using English Shepherd, Greyhound, scent hound, and possibly coyote stock. Officially designated as the State Dog of Texas in 2005.","{'id': 'gH5hZrWj0Q', 'url': 'https://cdn4.thedogapi.com/optimized/gH5hZrWj0Q.jpg', 'width': 896, 'height': 1200}",11.0,23.0,17.0,43.0,53.0,48.0,12.0,16.0,14.0
Lagotto Romagnolo,2,"affectionate, intelligent, energetic, loyal, alert, work-focused","Romagna region, Italy",IT,"Medium-sized rustic water retriever with dense, curly, waterproof coat and exceptional sense of smell, specialized as the world's premier truffle-hunting dog",Sporting,"Ancient breed from the Romagna region of Italy, originally used as a water retriever in the marshlands. When the marshes were drained, the breed was adapted and became the world's premier truffle-hunting dog.","{'id': 'ryzzmgqE7', 'url': 'https://cdn2.thedogapi.com/images/ryzzmgqE7_1280.jpg', 'width': 1600, 'height': 1200}",11.0,16.0,13.5,41.0,48.0,44.5,,,
Lài,2,"loyal, intelligent, athletic, alert, protective",Northern Vietnam,VN,"Medium-sized, primitive spitz-type dog native to northern Vietnam; agile, hardy, and versatile",Primitive,"An ancient indigenous breed of Vietnam's northern mountains, the Lài dog (sometimes called Chó Lài or Vietnamese Dingo) developed as a versatile hunting, herding, and guard dog. It is widely considered one of Vietnam's native primitive spitz breeds, known for intelligence, adaptability, and resilience. Not recognized by major international kennel clubs but documented in local standards.","{'id': 'LdMEnAqSQo', 'url': 'https://cdn4.thedogapi.com/optimized/LdMEnAqSQo.jpg', 'width': 1264, 'height': 848}",14.0,25.0,19.5,46.0,56.0,51.0,12.0,15.0,13.5
Laizhou Hong,2,"loyal, protective, confident, intelligent, alert","Laizhou, Shandong Province, China",CN,"Large, powerful Molosser-type working dog from Shandong, China, with distinctive reddish-brown coat and black mask, developed for guarding and protection",Working,"Modern Chinese breed developed in the 1950s-1970s in the Laizhou region of Shandong province by crossing German Shepherds, Great Danes, Rottweilers, and local Chinese breeds to produce a versatile working and guard dog","{'id': 'zjh8jtzgtM', 'url': 'https://cdn4.thedogapi.com/optimized/zjh8jtzgtM.jpg', 'width': 1120, 'height': 960}",30.0,45.0,37.5,66.0,81.0,73.5,10.0,12.0,11.0
Lakeland Terrier,2,"confident, alert, courageous, intelligent, friendly, energetic","Lake District, England",GB,"A small, sturdy terrier from the Lake District of England with a dense, weather-resistant wiry coat and lively expression. Known for its confident 'big dog' demeanor in a compact body and bold, courageous temperament.",Terrier,Developed in the rugged Lake District by farmers to hunt foxes that preyed on lambs and sheep. Ancestry includes the old English Black and Tan Terrier and Bedlington Terrier. Recognized by The Kennel Club in 1921 and AKC in 1934.,"{'id': 'gZtRaSgnya', 'url': 'https://cdn4.thedogapi.com/optimized/gZtRaSgnya.jpg', 'width': 1120, 'height': 944}",6.0,8.0,7.0,33.0,38.0,35.5,12.0,15.0,13.5
Lancashire Heeler,2,"intelligent, alert, energetic, friendly, playful, courageous","Lancashire, England",GB,"Small, sturdy herding dog with short legs and a low-set build. Features a short black and tan weatherproof double coat and distinctive foxlike expression with alert nature.",Herding,"Developed in Lancashire, England as an all-purpose farm dog for herding cattle by nipping at heels and for ratting. Believed to be developed from crosses between Welsh Corgis and Manchester Terriers. Nearly extinct by the 1960s but saved through dedicated breeding programs. Recognized by The Kennel Club (UK) in 1981 and AKC in 2024.","{'id': '4yAqsHVUjE', 'url': 'https://cdn4.thedogapi.com/optimized/4yAqsHVUjE.jpg', 'width': 1264, 'height': 848}",4.0,8.0,6.0,25.0,30.0,27.5,12.0,15.0,13.5
Landseer,2,"gentle, calm, intelligent, loyal, devoted, protective",Germany/Switzerland,DE,"Large, powerful, and agile dog of the molossoid type, distinguished by its striking white coat with black patches. Known for exceptional swimming ability and gentle nature, the Landseer (European Continental Type) is taller and more athletic than its Newfoundland cousin, bred specifically for water rescue work.",Working,"Named after 19th-century painter Sir Edwin Landseer who frequently depicted these dogs in his work. Developed as a distinct breed in Germany and Switzerland from Newfoundland dogs to preserve the taller, more agile structure. Recognized as separate breed by FCI in 1960.","{'id': 'iqgu213n3B', 'url': 'https://cdn4.thedogapi.com/optimized/iqgu213n3B.jpg', 'width': 1200, 'height': 896}",45.0,68.0,56.5,66.0,80.0,73.0,8.0,11.0,9.5
Langqing,2,"loyal, intelligent, independent, athletic, energetic","Guizhou Province, China",CN,"A rare, athletic sighthound landrace from China, known for its lean build, fine coat, and exceptional hunting ability. Also known as the Guizhou Hound.",Hound,"An ancient and rare sighthound landrace originating from the Guizhou province of China. Traditionally used by the Miao people for hunting, its history is long but not formally documented by major kennel clubs. It is valued for its speed, stamina, and hunting prowess.","{'id': 'fnCiMtebkY', 'url': 'https://cdn4.thedogapi.com/optimized/fnCiMtebkY.jpg', 'width': 896, 'height': 1184}",,,,,,,10.0,14.0,12.0
Lapponian Herder,2,"alert, energetic, intelligent, loyal, work-focused, calm, friendly",Finland (Lapland region),FI,"Medium-sized, spitz-type herding dog with a strong but agile build, slightly longer than tall, developed for managing reindeer in arctic conditions with a dense double coat and alert expression",Herding,"Developed by the indigenous Sami people in Finland's Lapland region for herding and managing reindeer. The breed was formally standardized in the mid-20th century, bred from local spitz-type dogs and possibly German Shepherd crosses in the 1960s.","{'id': '9sLAxAzeQ2', 'url': 'https://cdn4.thedogapi.com/optimized/9sLAxAzeQ2.jpg', 'width': 1232, 'height': 864}",25.0,35.0,30.0,42.0,54.0,48.0,10.0,14.0,12.0
Large Münsterländer,2,"intelligent, loyal, energetic, eager to please, friendly","Münster, Germany",DE,"Versatile medium to large German pointing and retrieving dog with distinctive black and white coat and feathering, known for its noble appearance and athletic build",Sporting,"Originated in the Münster region of Germany in the early 1900s, developed from the black and white offspring of German Longhaired Pointers and continental pointers and spaniels. When the German Longhaired Pointer standard was set to only allow liver and white, dedicated breeders preserved and developed the black and white variety into today's versatile hunting dog.","{'id': 'eN73desofw', 'url': 'https://cdn4.thedogapi.com/optimized/eN73desofw.jpg', 'width': 1120, 'height': 944}",25.0,32.0,28.5,58.0,65.0,61.5,11.0,13.0,12.0
Leonberger,2,"gentle, calm, loyal, friendly, intelligent, confident","Leonberg, Germany",DE,"Giant, majestic working dog with a lion-like appearance, thick water-resistant double coat, and gentle, balanced temperament. This powerful yet serene breed combines an imposing presence with a calm, patient demeanor.",Working,"Developed in the 1840s by Heinrich Essig in Leonberg, Germany, crossing Newfoundlands, Saint Bernards, and Pyrenean Mountain Dogs to create a 'lion-like' dog resembling the lion on the town crest. Became popular companion for European royalty","{'id': 'EtmEHVP7o1', 'url': 'https://cdn4.thedogapi.com/optimized/EtmEHVP7o1.jpg', 'width': 1200, 'height': 896}",41.0,77.0,59.0,65.0,80.0,72.5,7.0,9.0,8.0
Levriero Sardo,2,"independent, alert, loyal, intelligent, reserved","Sardinia, Italy",IT,"Rare, ancient sighthound landrace from Sardinia, Italy, known for its lean, athletic build and speed. This slender breed has strong hunting instincts and a reserved, independent temperament, traditionally used for hunting hares and small game across rugged terrain.",Hound,"The Levriero Sardo, or Sardinian Greyhound, is an ancient landrace sighthound native to the island of Sardinia. Believed to have descended from sighthounds brought to the region by ancient civilizations such as the Phoenicians, it has been prized by local hunters for centuries for its speed and stamina. The breed is rare and not recognized by major international kennel clubs but is documented in regional breed registries and is the focus of preservation efforts by local enthusiasts.","{'id': '8a81he69iq', 'url': 'https://cdn4.thedogapi.com/optimized/8a81he69iq.jpg', 'width': 960, 'height': 1104}",16.0,25.0,20.5,53.0,64.0,58.5,12.0,15.0,13.5
Lhasa Apso,2,"confident, independent, alert, loyal, smart, protective",Tibet,CN,"Small, hardy, and sturdy ancient Tibetan breed known for its floor-length coat of hair that parts down the back and alert, confident expression, originally bred as palace and monastery sentinel",Non-Sporting,"Ancient breed developed in Tibetan monasteries and palaces over a thousand years ago as indoor sentinel dogs, alerting monks to intruders. Highly prized and rarely left the country until brought to England in 1920s","{'id': 'SJp7Qe5EX', 'url': 'https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg', 'width': 680, 'height': 444}",5.0,8.2,6.6,23.0,28.0,25.5,12.0,15.0,13.5
Lhasapoo,2,"intelligent, affectionate, playful, alert, confident",United States,US,"Small designer crossbreed between Lhasa Apso and Poodle, combining the intelligence and low-shedding coat of the Poodle with the loyal, alert nature of the Lhasa Apso. Features a fluffy, wavy or curly coat and affectionate, friendly temperament.",Mixed,"Developed in the United States during the designer dog trend of the late 20th century by crossing the Lhasa Apso and Poodle. The goal was to create a small, intelligent companion dog with a low-shedding coat. Not recognized by major kennel clubs.","{'id': 'TKRz4dbkbH', 'url': 'https://cdn4.thedogapi.com/optimized/TKRz4dbkbH.jpg', 'width': 1408, 'height': 768}",4.5,9.0,6.75,23.0,33.0,28.0,12.0,15.0,13.5
Liangshan Dog,2,"loyal, courageous, independent, intelligent, protective, alert","Liangshan Yi Autonomous Prefecture, Sichuan Province, China",CN,"A primitive, large native Chinese breed from the mountainous Liangshan region of Sichuan, known for its lean athleticism, protective instincts, and versatility as both a hunting and livestock guardian dog with exceptional courage and endurance",Primitive,"An ancient regional landrace breed developed over centuries by the Yi people in the Liangshan mountains of Sichuan. Traditionally used both for hunting boar, rabbits, and mountain game, as well as protecting livestock from predators. Developed in isolation and recognized regionally in China but not by major international kennel clubs.","{'id': 'e4n7V6rqtL', 'url': 'https://cdn4.thedogapi.com/optimized/e4n7V6rqtL.jpg', 'width': 1408, 'height': 768}",25.0,40.0,32.5,56.0,71.0,63.5,10.0,14.0,12.0
Lithuanian Hound,2,"energetic, loyal, intelligent, courageous, alert, work-focused",Lithuania,LT,"Medium-sized, strong and tenacious scenthound with a short, glossy black and tan coat, developed for hunting in Lithuanian forests and known for endurance and strong hunting instincts",Hound,"The Lithuanian Hound has been known since the 16th century and is the only recognized dog breed indigenous to Lithuania. Nearly extinct after World War II, it was revived through dedicated breeding efforts starting in 1957 with the first official standard published in 1986. Developed by crossing local hunting dogs with Polish and Russian hounds for forest hunting.","{'id': 'rhUisMe2hp', 'url': 'https://cdn4.thedogapi.com/optimized/rhUisMe2hp.jpg', 'width': 1408, 'height': 768}",18.0,25.0,21.5,51.0,61.0,56.0,12.0,14.0,13.0
Lobito Herreño,2,"intelligent, loyal, energetic, alert, independent, protective","El Hierro, Canary Islands, Spain",ES,"A primitive, wolf-like medium-sized herding dog from the island of El Hierro, known for its agility, loyalty, and reserved nature. Also known as Pastor Herreño, this rustic breed was traditionally used for livestock management in volcanic terrain.",Herding,"A primitive landrace dog native to El Hierro island, descended from ancient dogs brought by pre-Hispanic settlers. Traditionally used for herding goats and sheep in volcanic terrain. Formally recognized by the Real Sociedad Canina de España (RSCE) in 2013 after recovery efforts saved it from near extinction.","{'id': 'SdxdZy6WhC', 'url': 'https://cdn4.thedogapi.com/optimized/SdxdZy6WhC.jpg', 'width': 1056, 'height': 1008}",18.0,22.0,20.0,47.0,54.0,50.5,12.0,15.0,13.5
Löwchen,2,"affectionate, outgoing, playful, intelligent, alert",France/Germany,FR,"Small companion dog known as the 'Little Lion Dog' with a long, flowing coat traditionally clipped into a distinctive lion trim featuring a plumed tail and mane. This bright, lively toy breed combines an affectionate nature with alert intelligence.",Non-Sporting,"Ancient breed with documented history in pre-Renaissance Europe, depicted in historical artworks for centuries and cherished by European nobility. Nearly extinct after WWII but saved through dedicated breeding efforts by Madame Bennert and other breeders. Once known as the rarest dog in the world before numbers recovered.","{'id': 'MRz5HSylED', 'url': 'https://cdn4.thedogapi.com/optimized/MRz5HSylED.jpg', 'width': 1168, 'height': 912}",4.0,8.0,6.0,30.0,36.0,33.0,,,
Lucas Terrier,2,"friendly, intelligent, alert, affectionate, adaptable",England,GB,"Small, sturdy working terrier with a dense, shaggy wiry coat, specifically bred for a friendly, non-quarrelsome temperament while maintaining robust health and working ability",Terrier,"Developed in the late 1940s by Sir Jocelyn Lucas crossing Norfolk Terriers and Sealyham Terriers to create a small, sturdy working terrier with a more companionable temperament and fewer health problems","{'id': 'jc0J82FZqW', 'url': 'https://cdn4.thedogapi.com/optimized/jc0J82FZqW.jpg', 'width': 1200, 'height': 896}",5.0,9.0,7.0,23.0,32.0,27.5,12.0,15.0,13.5
Lupo Italiano,2,"intelligent, loyal, alert, independent, work-focused",Italy,IT,"Medium to large Italian working dog developed from wolf-dog crosses, resembling a wolf in appearance with a sturdy, athletic build and erect ears. Known for its wolf-like features, endurance, and suitability for specialized work such as search and rescue.",Working,"Created in Italy in 1966 by Dr. Mario Messi through crossing a wild she-wolf from the Northern Apennines with German Shepherds. Developed under Italian government control for specialized utility roles including search and rescue, anti-poaching, and civil protection work.","{'id': 'gmzDQtEFjR', 'url': 'https://cdn4.thedogapi.com/optimized/gmzDQtEFjR.jpg', 'width': 1408, 'height': 768}",25.0,40.0,32.5,56.0,68.0,62.0,12.0,15.0,13.5
Lurcher,2,"intelligent, gentle, loyal, affectionate, athletic, independent",Great Britain and Ireland,GB,"Athletic, lean sighthound crossbreed combining speed, agility, and stamina, traditionally used for hunting and coursing. Known for versatility as a cross between sighthounds and pastoral or terrier breeds.",Mixed,"Traditional British and Irish crossbreed combining sighthounds (primarily Greyhounds) with terriers, pastoral, or herding breeds. Developed by traveling communities and poachers who needed fast, silent, and efficient hunting dogs for coursing and poaching.","{'id': 'creB1TPTKZ', 'url': 'https://cdn4.thedogapi.com/optimized/creB1TPTKZ.jpg', 'width': 1200, 'height': 896}",23.0,36.0,29.5,61.0,76.0,68.5,12.0,15.0,13.5
Mackenzie River Husky,2,"independent, hardy, work-focused, loyal, intelligent, alert","Mackenzie River Region, Northwest Territories, Canada",CA,"Large, powerful landrace of freighting sled dog developed in northern Canada, known for exceptional endurance, strength, and cold weather adaptation in sub-arctic regions",Working,Developed by indigenous peoples and fur traders in the Mackenzie River region as a functional landrace for freight hauling across vast northern territories. Created by crossing native sled dogs with large European breeds in the late 19th and early 20th centuries. Not recognized by major kennel clubs.,"{'id': 'esCgJUCo5D', 'url': 'https://cdn4.thedogapi.com/optimized/esCgJUCo5D.jpg', 'width': 1168, 'height': 912}",34.0,64.0,49.0,64.0,81.0,72.5,10.0,15.0,12.5
Magyar Agár,2,"loyal, calm, gentle, intelligent, athletic, independent",Hungary,HU,"Ancient Hungarian sighthound with elegant, robust build and short coat, bred for speed, stamina, and open-field coursing game across the Hungarian plains",Hound,"Ancient Hungarian sighthound whose origins trace back to the Magyar conquest of the Carpathian Basin, developed for coursing hare and deer with stamina over long distances and rugged terrain, nearly extinct after World War II but revived by dedicated breeders","{'id': 'oxYjbyiuEt', 'url': 'https://cdn4.thedogapi.com/optimized/oxYjbyiuEt.jpg', 'width': 1248, 'height': 848}",20.0,31.0,25.5,61.0,70.0,65.5,12.0,14.0,13.0
Mahratta Hound,2,"independent, loyal, intelligent, alert, athletic","Maharashtra, India",IN,"A rare, medium-sized sighthound from the Maharashtra region of India, known for its lean build, speed, stamina, and keen eyesight. Closely related to the Caravan Hound, this ancient breed is prized for its hunting prowess.",Hound,"An ancient sighthound breed originating from the Deccan Plateau in the state of Maharashtra, India. Traditionally used by local nobility and villagers for hunting hare, deer, and other small game. Maintained in rural communities as a rare landrace breed with no formal international breed standard.","{'id': 'oSY0Rc4R3g', 'url': 'https://cdn4.thedogapi.com/optimized/oSY0Rc4R3g.jpg', 'width': 1184, 'height': 896}",18.0,29.0,23.5,53.0,69.0,61.0,10.0,14.0,12.0
Majorca Shepherd Dog,2,"loyal, intelligent, protective, courageous, devoted","Majorca, Balearic Islands, Spain",ES,"Large, powerful, and noble black-coated shepherd dog with short coat, naturally adapted to Mediterranean climate. Known as Ca de Bestiar in its native land, this rustic livestock guardian and herder combines strength and agility with protective instincts.",Herding,"An ancient breed from the Balearic Islands, used for centuries as a shepherd and livestock guardian. Developed for herding and protecting livestock in Mediterranean conditions. Officially recognized with breed standard in 1980 as 'Ca de Bestiar'.","{'id': 'N5Y1E7MrFI', 'url': 'https://cdn4.thedogapi.com/optimized/N5Y1E7MrFI.jpg', 'width': 960, 'height': 1120}",30.0,40.0,35.0,60.0,73.0,66.5,11.0,13.0,12.0
Maltese,2,"playful, gentle, affectionate, charming, fearless, alert, adaptable","Malta, Mediterranean Basin",MT,"An ancient toy breed from the Mediterranean with a long, silky white coat and charming, playful personality combined with a fearless nature despite their diminutive size",Toy,"One of the world's oldest known breeds dating back over 2000 years, originating from the island of Malta. Historically known as 'Ye Ancient Dogge of Malta' and prized as companions to royalty and aristocracy throughout Mediterranean civilizations and European nobility","{'id': '6Kzt53hxrg', 'url': 'https://cdn4.thedogapi.com/optimized/6Kzt53hxrg.jpg', 'width': 1024, 'height': 1024}",1.8,3.2,2.5,18.0,23.0,20.5,12.0,15.0,13.5
Maltipoo,2,"affectionate, friendly, intelligent, playful, gentle",United States,US,"Small affectionate crossbreed between a Maltese and a Poodle, known for its soft, wavy or curly, low-shedding coat and playful companion nature",Mixed,"Popular designer crossbreed developed in the United States in the late 20th century, gaining popularity in the 1990s by crossing Maltese with Toy or Miniature Poodle to create a small, low-shedding companion dog","{'id': '4a7sNtOVLT', 'url': 'https://cdn4.thedogapi.com/optimized/4a7sNtOVLT.jpg', 'width': 1264, 'height': 848}",2.0,9.0,5.5,20.0,36.0,28.0,10.0,15.0,12.5
Maltshi,2,"affectionate, playful, friendly, gentle, outgoing, intelligent",United States,US,"Small designer crossbreed resulting from crossing a Maltese and Shih Tzu, known for their affectionate nature, low-shedding silky coat, and charming companion temperament",Mixed,"Modern designer crossbreed developed in the United States in the late 20th century by crossing the Maltese and Shih Tzu breeds. The goal was to create a small, affectionate companion dog with a low-shedding coat. Not recognized by major kennel clubs.","{'id': 'Xcd5972xkG', 'url': 'https://cdn4.thedogapi.com/optimized/Xcd5972xkG.jpg', 'width': 1408, 'height': 768}",2.7,6.8,4.75,20.0,28.0,24.0,10.0,16.0,13.0
Manchester Terrier,2,"alert, intelligent, loyal, energetic, spirited, independent","Manchester, England",GB,"Sleek, elegant terrier with distinctive black-and-tan coat and keen, alert expression. Known as the 'Gentleman's Terrier' in Victorian England, this racy, athletic breed exists in both Standard and Toy varieties with a clean-cut, spirited appearance.",Terrier,Developed in 19th-century Manchester by crossing Black and Tan Terriers with Whippets. Created as proficient rat-killer and rabbit-courser for working men of the industrial era. Recognized by AKC since 1886.,"{'id': '61HAAlrXzC', 'url': 'https://cdn4.thedogapi.com/optimized/61HAAlrXzC.jpg', 'width': 1104, 'height': 960}",5.0,10.0,7.5,38.0,41.0,39.5,,,
Maneto,2,"intelligent, energetic, alert, loyal, affectionate, devoted, independent","Andalusia, Spain",ES,"A small, short-legged (achondroplastic) sighthound from Andalusia, Spain, specifically developed from the Podenco Andaluz for hunting rabbits in dense undergrowth. Known for agility in hunting small game with a low-set build and smooth coat.",Spitz and Primitive Types,"The Maneto is a variety of the Podenco Andaluz, characterized by its short legs (achondroplasia). This ancient Spanish breed was selectively bred in the provinces of Málaga and Cádiz to create a dog adept at navigating dense scrub and brambles to hunt rabbits and partridges. It was officially recognized by the Real Sociedad Canina de España (RSCE) in 2004, with FCI provisional recognition.","{'id': 'eocHx2wDrd', 'url': 'https://cdn4.thedogapi.com/optimized/eocHx2wDrd.jpg', 'width': 1168, 'height': 912}",8.0,11.5,9.75,28.0,33.0,30.5,12.0,14.0,13.0
Maremma Sheepdog,2,"protective, independent, loyal, alert, calm",Italy (Maremma and Abruzzo regions),IT,"Large, well-balanced livestock guardian with thick white coat and confident demeanour. Also known as 'Maremmano-Abruzzese Sheepdog'",Working,"Ancient livestock guardian from central Italy, developed to protect sheep from predators in the regions of Maremma and Abruzzo. Recognized by FCI as Cane da Pastore Maremmano-Abruzzese.","{'id': 'ho6eDDtP2t', 'url': 'https://cdn4.thedogapi.com/optimized/ho6eDDtP2t.jpg', 'width': 1184, 'height': 896}",30.0,45.0,37.5,61.0,73.0,67.0,11.0,13.0,12.0
Markiesje,2,"friendly, intelligent, calm, alert, affectionate, energetic",Netherlands,NL,"Small, elegant black spaniel-type companion dog from the Netherlands, characterized by its silky, medium-length coat and intelligent, calm expression. This attentive and lively breed has a friendly temperament and appeared in Dutch paintings from the 17th and 18th centuries as a companion to noblewomen.",Companion,Ancient Dutch breed appearing in paintings from the 17th and 18th centuries as companion to noblewomen. Nearly extinct by 1970s but revived through dedicated breeding program starting in 1980s. Officially recognized by Dutch Kennel Club in 1999 and provisionally recognized by FCI.,"{'id': '8i1u7eq1KM', 'url': 'https://cdn4.thedogapi.com/optimized/8i1u7eq1KM.jpg', 'width': 1264, 'height': 848}",6.0,8.0,7.0,34.0,40.0,37.0,12.0,15.0,13.5
Mastidoodle,2,"gentle, intelligent, loyal, protective, calm",United States,US,Large crossbreed combining the gentle giant nature of the Mastiff with the intelligence and low-shedding coat of the Standard Poodle,Mixed,Modern designer crossbreed developed to combine the gentle temperament of Mastiffs with the intelligence and reduced shedding of Poodles,"{'id': 'TvQadPrtYh', 'url': 'https://cdn4.thedogapi.com/optimized/TvQadPrtYh.jpg', 'width': 1408, 'height': 768}",45.0,91.0,68.0,61.0,81.0,71.0,8.0,12.0,10.0
McNab,2,"intelligent, energetic, loyal, alert, work-focused","California, United States",US,"Medium-sized, agile herding dog with athletic build and exceptional working ability, known for intelligence, stamina, and versatility. Developed for ranch work in Northern California",Herding,"Developed in the late 1800s by Scottish immigrant Alexander McNab on his Mendocino County ranch, crossing Scottish Collies and local working collies with other herding dogs to create a versatile ranch dog suited to California terrain","{'id': '5S1dB0WPX1', 'url': 'https://cdn4.thedogapi.com/optimized/5S1dB0WPX1.jpg', 'width': 928, 'height': 1136}",14.0,29.0,21.5,41.0,64.0,52.5,,,
Miniature American Shepherd,2,"intelligent, energetic, devoted, loyal, eager to please, work-focused",United States,US,"Small, athletic herding dog with a striking double coat and keen intelligence, essentially a compact version of the Australian Shepherd with intense work drive and devotion",Herding,"Developed in California during the late 1960s from small Australian Shepherds, bred for compact size while maintaining herding ability. Became popular with equestrians traveling to horse shows and was recognized by the AKC Herding Group in 2015.","{'id': 'azYjQgJT4i', 'url': 'https://cdn4.thedogapi.com/optimized/azYjQgJT4i.jpg', 'width': 1264, 'height': 848}",9.0,18.0,13.5,33.0,46.0,39.5,12.0,13.0,12.5
Miniature Bull Terrier,2,"playful, energetic, courageous, loyal, mischievous, outgoing",England,GB,"Small, muscular terrier with distinctive egg-shaped head and spirited, mischievous personality. A strongly built breed known for its playful and comical nature.",Terrier,"Developed in 19th-century England as a smaller version of the Bull Terrier by selecting for smaller size while maintaining distinctive characteristics. Initially used for ratting and vermin control, evolved into companion dogs prized for courage and comical nature. Recognized by AKC in 1991.","{'id': 'G0wYTHus2i', 'url': 'https://cdn4.thedogapi.com/optimized/G0wYTHus2i.jpg', 'width': 1152, 'height': 928}",8.0,13.0,10.5,25.0,36.0,30.5,11.0,13.0,12.0
Miniature Dachshund,2,"clever, playful, courageous, loyal, independent, alert",Germany,DE,"A small, elongated scent hound breed originating from Germany. Originally bred to flush out rabbits and small quarry from burrows, the Miniature Dachshund is clever, playful, and courageous, known for its distinct long-backed and short-legged silhouette.",Hound,Developed in Germany during the 18th and 19th centuries by breeding standard Dachshunds down to a smaller size to pursue smaller quarry like rabbits. Recognized as a distinct size variety by kennel clubs worldwide.,"{'id': 'Xa95YxgKA8', 'url': 'https://cdn4.thedogapi.com/optimized/Xa95YxgKA8.jpg', 'width': 1408, 'height': 768}",5.0,5.0,5.0,13.0,15.0,14.0,12.0,16.0,14.0
